Size,Compression,Query1Time,Query1Size,Query1SavedTime,Query2Time,Query2Size,Query2SavedTime,Query3Time,Query3Size,Query3SavedTime,Query4Time,Query4Size,Query4SavedTime,Query5Time,Query5Size,Query5SavedTime,Query6Time,Query6Size,Query6SavedTime,Query7Time,Query7Size,Query7SavedTime,Query8Time,Query8Size,Query8SavedTime,Query9Time,Query9Size,Query9SavedTime,TotalSavedTimePercentage
100,none,0.1520909,19938,0,0.0306962,2,0,0.0034943,2,0,0.0019867,2,0,0.0034348,2,0,0.0012519,2,0,0.001199,2,0,0.0011301,2,0,0.0038635,19938,0,0.00
100,snappy,0.0358793,19938,0.1162116,0.0023147,2,0.0283815,0.0012944,2,0.0021999000000000003,0.0011217,2,0.0008650000000000001,0.0012393,2,0.0021955,0.0011378,2,0.00011410000000000001,0.001147,2,5.199999999999996E-05,0.0011902,2,-6.01E-05,0.0021485,19938,0.0017150000000000004,76.16
100,zlib,0.0333643,19938,0.1187266,0.0019118,2,0.0287844,0.0015777,2,0.0019166,0.0018431,2,0.00014360000000000002,0.0015367,2,0.0018981,0.0044135,2,-0.0031615999999999997,0.0012301,2,-3.110000000000005E-05,0.0011126,2,1.7499999999999937E-05,0.0033899,19938,0.00047360000000000024,74.70
100,zstd,0.0604072,19938,0.0916837,0.0122462,2,0.01845,0.0029458,2,0.0005484999999999999,0.0024935,2,-0.0005068,0.0021745,2,0.0012603000000000002,0.0021001,2,-0.0008482000000000001,0.0019098,2,-0.0007107999999999999,0.0019946,2,-0.0008645,0.004878,19938,-0.0010145000000000002,54.23
1000,none,0.0120748,205338,0,0.0018349,2,0,0.0019381,2,0,0.0019201,2,0,0.001791,1442,0,0.0013844,2,0,0.0012925,2,0,0.0074972,40994,0,0.0119587,205338,0,0.00
1000,snappy,0.0133493,205338,-0.0012744999999999996,0.0022345,2,-0.00039959999999999996,0.0018695,2,6.859999999999982E-05,0.0016195,2,0.00030060000000000004,0.0017795,1442,1.1500000000000008E-05,0.0015301,2,-0.0001456999999999999,0.0018449,2,-0.0005524,0.0053229,40994,0.0021742999999999997,0.0116989,205338,0.00025979999999999927,1.06
1000,zlib,0.016346,205338,-0.004271199999999999,0.0023562,2,-0.0005213000000000001,0.0019509,2,-1.2800000000000094E-05,0.0027471,2,-0.000827,0.0020447,1442,-0.00025369999999999993,0.0015888,2,-0.00020439999999999998,0.0015117,2,-0.0002191999999999999,0.0081047,40994,-0.0006074999999999995,0.0154634,205338,-0.0035047000000000012,-25.00
1000,zstd,0.0141976,205338,-0.0021227999999999993,0.0035844,2,-0.0017495000000000002,0.0031033,2,-0.0011652,0.0028218,2,-0.0009017000000000001,0.0034883,1442,-0.0016973000000000001,0.0029848,2,-0.0016004,0.0028131,2,-0.0015205999999999998,0.0067055,40994,0.0007917000000000002,0.0129847,205338,-0.0010260000000000009,-26.36
2000,none,0.0259293,417338,0,0.0034049,2,0,0.002667,2,0,0.0021195,2,0,0.0026086,3562,0,0.001756,2,0,0.001749,2,0,0.0100099,252994,0,0.0170824,417338,0,0.00
2000,snappy,0.0204438,417338,0.005485499999999997,0.0029499,2,0.0004550000000000001,0.0025939,2,7.309999999999999E-05,0.0022822,2,-0.0001627,0.0035175,3562,-0.0009088999999999998,0.0022354,2,-0.00047939999999999983,0.0023848,2,-0.0006358,0.010947,252994,-0.0009370999999999997,0.0146654,417338,0.0024170000000000007,7.88
2000,zlib,0.0301386,417338,-0.004209300000000003,0.0032825,2,0.00012240000000000037,0.0025705,2,9.650000000000023E-05,0.0024751,2,-0.0003556000000000002,0.0032211,3562,-0.0006125000000000002,0.0023533,2,-0.0005973,0.0020759,2,-0.0003269,0.010126,252994,-0.00011609999999999919,0.0229758,417338,-0.0058934,-17.66
2000,zstd,0.0274562,417338,-0.0015269000000000012,0.0052551,2,-0.0018502000000000002,0.0030053,2,-0.0003382999999999997,0.0032389,2,-0.0011194,0.0037828,3562,-0.0011741999999999998,0.0030296,2,-0.0012736,0.0034062,2,-0.0016572,0.0149302,252994,-0.004920299999999999,0.0129663,417338,0.004116100000000001,-14.47
5000,none,0.0484047,1053338,0,0.0050825,2,0,0.0038404,2,0,0.0034178,2,0,0.0050555,9922,0,0.0036682,2,0,0.0035547,2,0,0.0287165,888994,0,0.0349597,1053338,0,0.00
5000,snappy,0.0384709,1053338,0.0099338,0.0047113,2,0.00037120000000000035,0.00402,2,-0.00017960000000000025,0.0035461,2,-0.00012830000000000003,0.0048894,9922,0.00016609999999999975,0.0038586,2,-0.00019039999999999986,0.0034198,2,0.00013489999999999986,0.0213757,888994,0.007340799999999998,0.0274982,1053338,0.007461500000000003,18.22
5000,zlib,0.0503995,1053338,-0.001994799999999998,0.0071375,2,-0.0020549999999999995,0.0041809,2,-0.0003405000000000005,0.0035276,2,-0.00010980000000000018,0.0053681,9922,-0.0003125999999999997,0.0034212,2,0.0002469999999999998,0.0036689,2,-0.00011420000000000007,0.0334401,888994,-0.004723600000000001,0.0518801,1053338,-0.016920399999999995,-19.26
5000,zstd,0.0515452,1053338,-0.0031404999999999975,0.0053388,2,-0.0002563000000000001,0.0049369,2,-0.0010965000000000003,0.0045128,2,-0.001095,0.0060839,9922,-0.0010283999999999996,0.004859,2,-0.0011907999999999997,0.0049968,2,-0.0014421,0.0312686,888994,-0.0025521000000000016,0.0310216,1053338,0.003938100000000003,-5.75
10000,none,0.1084425,2113338,0,0.0533165,1059788,0,0.0064805,212,0,0.0369361,1059788,0,0.0093753,20522,0,0.0257164,635788,0,0.0066435,212,0,0.0570196,1948994,0,0.0628335,2113338,0,0.00
10000,snappy,0.0716829,2113338,0.0367596,0.0276452,1059788,0.0256713,0.0066406,212,-0.00016009999999999983,0.0360033,1059788,0.0009327999999999975,0.0092502,20522,0.00012509999999999952,0.01712,635788,0.0085964,0.0063521,212,0.0002913999999999998,0.0462441,1948994,0.010775499999999993,0.0521302,2113338,0.010703299999999999,25.55
10000,zlib,0.0982696,2113338,0.010172899999999999,0.0402568,1059788,0.0130597,0.006581,212,-0.0001004999999999999,0.042113,1059788,-0.005176899999999998,0.0153624,20522,-0.0059871,0.0333678,635788,-0.007651400000000003,0.006543,212,0.0001004999999999999,0.0859205,1948994,-0.0289009,0.0857903,2113338,-0.0229568,-12.93
10000,zstd,0.1132166,2113338,-0.004774100000000003,0.0335522,1059788,0.019764300000000005,0.0073532,212,-0.0008726999999999997,0.0302973,1059788,0.0066388,0.0100176,20522,-0.0006423000000000002,0.0222692,635788,0.003447200000000001,0.0074275,212,-0.000784,0.0652052,1948994,-0.008185600000000008,0.0554021,2113338,0.007431399999999998,6.00
