Size,Compressor,Query 1,Query 1 Saved (%),Query 1 Size,Query 2,Query 2 Saved (%),Query 2 Size,Query 3,Query 3 Saved (%),Query 3 Size,Query 4,Query 4 Saved (%),Query 4 Size,Query 5,Query 5 Saved (%),Query 5 Size,Query 6,Query 6 Saved (%),Query 6 Size,Query 7,Query 7 Saved (%),Query 7 Size,Query 8,Query 8 Saved (%),Query 8 Size,Query 9,Query 9 Saved (%),Query 9 Size,Total,Total Saved (%),Total Size
100,none,0.1600943,0.0293736,0.0038143,0.0022248,0.0044279,0.0020976,0.0020671,0.0023964,0.0051087,0.0026278,0.2142325,System.Linq.Enumerable+RepeatIterator`1[System.String]19938,2,2,2,2,2,2,2,19938,2,39892
100,snappy,0.060743,0.0031072,0.0022033,0.0020858,0.0023255,0.0021542,0.00193,0.0018288,0.0030919,0.0020926,0.08156229999999999,62.05798707386835,89.42179371953046,42.235796869674644,6.2477526069759,47.48074708100906,-2.6983218916857554,6.632480286391564,23.685528292438658,39.47775363595436,20.3668467919933,334.9083644661505,19938,2,2,2,2,2,2,2,19938,2,39892
100,zlib,0.0315855,0.0028127,0.002785,0.002597,0.0024027,0.0054328,0.0022587,0.0022974,0.0049143,0.0025823,0.05966840000000002,80.27069046180905,90.42439469455566,26.985292189916887,-16.72959367134125,45.73725693895527,-159.0007627765065,-9.269024236853568,4.131196795192794,3.8052733572141633,1.731486414491208,68.08621016743373,19938,2,2,2,2,2,2,2,19938,2,39892
100,zstd,0.070585,0.0118342,0.0035669,0.0035812,0.0035901,0.0033842,0.003279,0.0031881,0.0086577,0.0039181,0.1155845,55.91036033137969,59.711441566576795,6.486118029520489,-60.96727795756923,18.920933173739247,-61.336765827612524,-58.62802960669535,-33.03705558337507,-69.46972811086971,-49.10191034325291,-191.51191432815858,19938,2,2,2,2,2,2,2,19938,2,39892
1000,none,0.0131995,0.0033529,0.002777,0.003097,0.0031477,0.0026994,0.0025866,0.0111558,0.0156551,0.0032874,0.0609584,System.Linq.Enumerable+RepeatIterator`1[System.String]205338,2,2,2,1442,2,2,40994,205338,2,453124
1000,snappy,0.0147278,0.0033982,0.0026681,0.0033821,0.0034867,0.0025064,0.0021802,0.0059081,0.0125337,0.0033082,0.054099499999999995,-11.578468881397022,-1.3510692236571413,3.9214980194454405,-9.205682918953825,-10.76976840232552,7.14973697858782,15.711745148070822,47.04010469890102,19.938550376554616,-0.6327188659731117,60.2239269292531,205338,2,2,2,1442,2,2,40994,205338,2,453124
1000,zlib,0.0208542,0.0034307,0.0027372,0.0024194,0.0032007,0.002981,0.0026587,0.0059465,0.0160824,0.003315,0.0636258,-57.992348195007395,-2.320379373080028,1.4332012963629812,21.87923797223119,-1.6837691012485339,-10.431947840260811,-2.78744297533441,46.69588913390344,-2.729461964471632,-0.8395692644643189,-8.776590311369514,205338,2,2,2,1442,2,2,40994,205338,2,453124
1000,zstd,0.0204403,0.0041531,0.003722,0.0045331,0.0038034,0.0035286,0.0036344,0.0086819,0.0167148,0.0037486,0.0729602,-54.856623356945356,-23.865907125175223,-34.02952826791502,-46.370681304488215,-20.831083012993627,-30.717937319404314,-40.50877599938142,22.17590849602898,-6.769040121110671,-14.02932408590376,-249.80299209728858,205338,2,2,2,1442,2,2,40994,205338,2,453124
2000,none,0.0308975,0.003573,0.0033351,0.0030705,0.0035086,0.0029836,0.0027358,0.0165079,0.0228971,0.0039194,0.09342850000000001,System.Linq.Enumerable+RepeatIterator`1[System.String]417338,2,2,2,3562,2,2,252994,417338,2,1091244
2000,snappy,0.0244828,0.0051355,0.0022364,0.0020897,0.0028074,0.0019535,0.0018524,0.0160789,0.0239912,0.0028334,0.0834612,20.761226636459266,-43.73075846627486,32.94353992384037,31.942680345220648,19.98517927378442,34.52540555034187,32.29037210322392,2.5987557472482803,-4.778334374222066,27.708322702454463,154.2463894420763,417338,2,2,2,3562,2,2,252994,417338,2,1091244
2000,zlib,0.0351308,0.0033423,0.0028958,0.0024749,0.0030171,0.0021883,0.0024893,0.0179214,0.0304479,0.0034813,0.1033891,-13.70110850392425,6.4567590260285455,13.172018830020091,19.397492265103402,14.00843641338426,26.65571792465478,9.010161561517661,-8.562567013369367,-32.977101903734535,11.177731285400823,44.637539885081424,417338,2,2,2,3562,2,2,252994,417338,2,1091244
2000,zstd,0.0354771,0.0047448,0.0034666,0.0031046,0.0035883,0.0028381,0.0030437,0.0177209,0.024505,0.0035044,0.1019935,-14.821911157860656,-32.79596977329977,-3.942910257563481,-1.1105683113499436,-2.2715613065040134,4.876659069580366,-11.254477666496083,-7.347997019608808,-7.022286665123525,10.588355360514365,-65.10266772771155,417338,2,2,2,3562,2,2,252994,417338,2,1091244
5000,none,0.0638991,0.0042235,0.0042033,0.003861,0.0055842,0.0042083,0.0041654,0.0515817,0.0626177,0.0047528,0.209097,System.Linq.Enumerable+RepeatIterator`1[System.String]1053338,2,2,2,9922,2,2,888994,1053338,2,3005604
5000,snappy,0.0638472,0.0047763,0.0048353,0.0043346,0.0061409,0.0046322,0.004095,0.0467743,0.0616862,0.0040296,0.2051516,0.08122180124601695,-13.088670533917368,-15.035805200675654,-12.266252266252273,-9.969198810930845,-10.072951072879798,1.6901137945935558,9.319972005575627,1.4875985544023524,15.216293553273847,-32.63767817556453,1053338,2,2,2,9922,2,2,888994,1053338,2,3005604
5000,zlib,0.0956958,0.0048111,0.0052297,0.004161,0.0060955,0.003969,0.0039461,0.0541675,0.0760367,0.0053276,0.25944,-49.76079475297774,-13.912631703563392,-24.418908952489716,-7.770007770007768,-9.156190680849543,5.686381674310282,5.264800499351792,-5.0130181828051406,-21.4300429431295,-12.093923581888578,-132.6043363940493,1053338,2,2,2,9922,2,2,888994,1053338,2,3005604
5000,zstd,0.1029303,0.0053689,0.0056315,0.004974,0.0066999,0.0050736,0.0048987,0.0712106,0.0676337,0.008399,0.2828202,-61.08255045845716,-27.119687463004627,-33.97806485380534,-28.826728826728836,-19.97958525840765,-20.561747023738807,-17.604551783742263,-38.05399977123669,-8.010514598907347,-76.71688267968358,-331.93431271771226,1053338,2,2,2,9922,2,2,888994,1053338,2,3005604
10000,none,0.1328185,0.0772299,0.0071254,0.0581897,0.0111706,0.040057,0.0069655,0.1018404,0.1114685,0.0081024,0.5549679,System.Linq.Enumerable+RepeatIterator`1[System.String]2113338,1059788,212,1059788,20522,635788,212,1948994,2113338,212,8952192
10000,snappy,0.1354954,0.0670967,0.0083213,0.0761934,0.0091924,0.0338973,0.0058113,0.1028488,0.1069162,0.0059798,0.5517526,-2.015457184051907,13.12082496546028,-16.783619165239855,-30.939668016848337,17.708986088482263,15.377337294355552,16.570239035245137,-0.9901767864226835,4.083934026204708,26.19717614533964,42.32957640252479,2113338,1059788,212,1059788,20522,635788,212,1948994,2113338,212,8952192
10000,zlib,0.1916706,0.0705536,0.0077875,0.0747927,0.0106385,0.0473259,0.0069955,0.1195508,0.1403768,0.0079498,0.6776416999999999,-44.31016763477979,8.644708849810772,-9.292109916636267,-28.532540982338812,4.763396773673741,-18.146391392266008,-0.43069413538151813,-17.39034803476813,-25.934053118145485,1.8833925750394855,-128.74480701579202,2113338,1059788,212,1059788,20522,635788,212,1948994,2113338,212,8952192
10000,zstd,0.1775086,0.0605662,0.0073388,0.059486,0.0125464,0.0403122,0.0075803,0.1066007,0.1116764,0.0067912,0.5904068,-33.64749639545694,21.576746829919504,-2.9949195834619915,-2.2277138393908205,-12.316258750649025,-0.637092143695227,-8.826358481085341,-4.67427464935331,-0.1865100902945648,16.182859399684038,-27.751017703783678,2113338,1059788,212,1059788,20522,635788,212,1948994,2113338,212,8952192
